time,shortwave_radiation,diffuse_radiation,cloud_cover,temperature,humidity,precipitation,wind_speed,generation_kwh,solar_elevation
2025-06-01 00:00:00,0,0,100,14.0,96,0.0,4.5,0.0,-30.93862606
2025-06-01 01:00:00,0,0,96,13.9,97,0.0,8.5,0.0,-29.35769985
2025-06-01 02:00:00,0,0,99,13.6,99,0.0,7.2,0.0,-24.68416976
2025-06-01 03:00:00,0,0,100,13.2,100,0.0,3.4,0.0,-17.52579538
2025-06-01 04:00:00,0,0,100,12.7,100,0.0,2.8,0.0,-8.554628061
2025-06-01 05:00:00,0,0,100,12.1,100,0.0,2.4,2.688,1.974446015
2025-06-01 06:00:00,13,12,100,11.7,100,0.0,1.8,78.576,12.80767728
2025-06-01 07:00:00,89,71,100,12.5,99,0.0,3.0,250.848,24.37631215
2025-06-01 08:00:00,243,156,90,15.7,90,0.0,2.4,611.136,36.2608493
2025-06-01 09:00:00,457,174,35,18.0,81,0.0,4.9,1064.976,48.19676729
2025-06-01 10:00:00,582,247,12,18.5,80,0.0,6.8,1409.712,59.78032964
2025-06-01 11:00:00,745,244,37,19.7,75,0.0,6.9,1663.584,69.94257875
2025-06-01 12:00:00,826,283,45,19.8,73,0.0,9.4,1763.328,75.02751677
2025-06-01 13:00:00,813,319,49,19.4,76,0.0,11.3,1787.76,70.45674283
2025-06-01 14:00:00,801,318,82,19.3,69,0.0,12.0,1687.824,60.45742705
2025-06-01 15:00:00,738,267,98,19.5,71,0.0,12.1,1314.816,48.92076898
2025-06-01 16:00:00,578,277,100,18.8,71,0.0,12.1,945.888,36.99698985
2025-06-01 17:00:00,407,240,100,17.0,76,0.0,10.7,487.008,25.10843455
2025-06-01 18:00:00,186,166,100,15.5,84,0.0,8.8,178.032,13.52205312
2025-06-01 19:00:00,85,79,100,14.8,86,0.0,7.9,16.08,2.619360201
2025-06-01 20:00:00,15,15,100,14.5,84,0.0,8.5,0.0,-7.911193139
2025-06-01 21:00:00,0,0,100,14.9,78,0.0,6.9,0.0,-16.95422029
2025-06-01 22:00:00,0,0,100,15.2,90,0.0,6.9,0.0,-24.21964953
2025-06-01 23:00:00,0,0,100,15.2,90,0.0,4.0,0.0,-29.04137036
2025-06-02 00:00:00,0,0,100,15.3,89,0.0,2.9,0.0,-30.80380667
2025-06-02 01:00:00,0,0,100,15.2,89,0.0,0.2,0.0,-29.23526122
2025-06-02 02:00:00,0,0,100,15.3,87,0.0,2.7,0.0,-24.57893622
2025-06-02 03:00:00,0,0,100,15.2,88,0.0,2.6,0.0,-17.43865534
2025-06-02 04:00:00,0,0,100,15.3,87,0.0,2.3,0.0,-8.483841601
2025-06-02 05:00:00,0,0,100,15.5,86,0.0,0.7,0.0,2.027500927
2025-06-02 06:00:00,3,3,100,15.6,87,0.0,0.2,10.032,12.85421827
2025-06-02 07:00:00,28,28,100,16.0,85,0.0,0.6,102.336,24.41580249
2025-06-02 08:00:00,53,53,100,16.3,86,0.0,4.6,183.024,36.29686394
2025-06-02 09:00:00,73,73,100,16.0,83,0.3,8.3,194.88,48.23454924
2025-06-02 10:00:00,120,119,100,16.5,81,0.0,11.0,545.52,59.82936282
2025-06-02 11:00:00,155,154,100,17.1,75,0.1,4.2,557.52,70.02296415
2025-06-02 12:00:00,304,291,100,18.4,66,0.0,4.7,552.72,75.15785404
2025-06-02 13:00:00,234,226,100,18.4,66,0.0,3.8,596.544,70.58350948
2025-06-02 14:00:00,344,309,99,18.9,66,0.0,4.7,314.16,60.56535711
